iter	Logloss
0	0.6875567761
1	0.680417529
2	0.6764886995
3	0.6728324846
4	0.6679171628
5	0.6633066583
6	0.6591702017
7	0.6545638207
8	0.6498393611
9	0.6445214713
10	0.6414394939
11	0.6382519151
12	0.6353155708
13	0.6321169101
14	0.629525713
15	0.6274712141
16	0.6257690482
17	0.6222570219
18	0.6198157924
19	0.6163982843
20	0.6136495684
21	0.60841529
22	0.6046012676
23	0.6024297129
24	0.5994582039
25	0.5962230402
26	0.5919005025
27	0.5884050549
28	0.5852465352
29	0.5810517472
30	0.578679401
31	0.5754478892
32	0.5726888044
33	0.5713395297
34	0.5689617828
35	0.567405395
36	0.5653475993
37	0.5626861742
38	0.5606158371
39	0.5583646712
40	0.5556846966
41	0.5540350688
42	0.5524076293
43	0.5512720067
44	0.5484145259
45	0.5466473885
46	0.5449987653
47	0.5433580677
48	0.5407946262
49	0.5380946986
50	0.5365352257
51	0.5338844251
52	0.5319087031
53	0.5300858981
54	0.5274822351
55	0.5243888888
56	0.5216776192
57	0.5196177328
58	0.5174892277
59	0.5154701509
60	0.5138705904
61	0.5108903209
62	0.5091574398
63	0.5064490762
64	0.5050916333
65	0.5027079738
66	0.501472736
67	0.4999059046
68	0.4984547895
69	0.4950587363
70	0.4925825517
71	0.4908051791
72	0.4888531308
73	0.4864841037
74	0.4853497932
75	0.4831230565
76	0.4811649644
77	0.4797577928
78	0.4780230023
79	0.4760253226
80	0.4734070198
81	0.4716866608
82	0.4696347875
83	0.4684864599
84	0.46667251
85	0.4648415524
86	0.4632785263
87	0.4623591447
88	0.4606056142
89	0.4580455122
90	0.4563648231
91	0.4539516894
92	0.4521664754
93	0.4515110495
94	0.4505981731
95	0.4485618299
96	0.4469851003
97	0.4454279152
98	0.443135782
99	0.4421120383
100	0.440724586
101	0.4395741373
102	0.4377318732
103	0.4362255059
104	0.4349599194
105	0.4334873525
106	0.431900214
107	0.4303564732
108	0.4295230453
109	0.427851969
110	0.4251378973
111	0.4238282557
112	0.4228496553
113	0.4215370968
114	0.4196718715
115	0.4176636228
116	0.4164884978
117	0.415728581
118	0.41437112
119	0.4135046651
120	0.4117527616
121	0.411008317
122	0.409524527
123	0.4084565419
124	0.4073971932
125	0.4058746431
126	0.4045499126
127	0.4030746879
128	0.401674841
129	0.4004861174
130	0.3992890067
131	0.3981584505
132	0.3969585855
133	0.396116424
134	0.3948365649
135	0.3938420782
136	0.3926736867
137	0.3913034214
138	0.3900964025
139	0.3885188623
140	0.3875823866
141	0.3860814406
142	0.3852302016
143	0.3845524764
144	0.3832643404
145	0.3823524684
146	0.3811824537
147	0.3804995257
148	0.3795006847
149	0.3782873326
150	0.3770275652
151	0.3755488632
152	0.3744579016
153	0.3736381502
154	0.3724536087
155	0.3709456373
156	0.3702795467
157	0.3690633784
158	0.3681250092
159	0.3674807902
160	0.3662692163
161	0.3656665787
162	0.3646213243
163	0.3641443294
164	0.3635522268
165	0.3627792689
166	0.3622199942
167	0.3613714692
168	0.3603174221
169	0.3597746438
170	0.358943081
171	0.3581520169
172	0.3574008544
173	0.3561756868
174	0.3546091262
175	0.3538750692
176	0.3521491262
177	0.3510694568
178	0.3504604947
179	0.3495608346
180	0.3488345588
181	0.3477310697
182	0.3470277268
183	0.3463903152
184	0.3455012615
185	0.3447883686
186	0.3441271968
187	0.3431827539
188	0.3425153499
189	0.342077994
190	0.3410622604
191	0.3401579805
192	0.3396108719
193	0.3387134136
194	0.3381940488
195	0.3375557544
196	0.3369297984
197	0.3362102906
198	0.3352145356
199	0.3344106777
200	0.3335869598
201	0.3326178395
202	0.3316812954
203	0.3309252421
204	0.3304553324
205	0.3298282756
206	0.3291156183
207	0.3282913047
208	0.327434222
209	0.3263794294
210	0.3257824302
211	0.3251169331
212	0.3246249426
213	0.3234074537
214	0.3224997416
215	0.3216700687
216	0.3206284757
217	0.3198512716
218	0.3192390843
219	0.3180922815
220	0.3171905745
221	0.3163616179
222	0.3156515526
223	0.3151014796
224	0.3143582021
225	0.3134975465
226	0.3129794341
227	0.3120027331
228	0.3106540104
229	0.3098578395
230	0.3088590889
231	0.3084624947
232	0.307506214
233	0.306808535
234	0.3063211795
235	0.3057130559
236	0.304845588
237	0.3042851507
238	0.3038344519
239	0.3032160974
240	0.302222916
241	0.3014123627
242	0.3007735194
243	0.3000717096
244	0.2994409036
245	0.2988680963
246	0.2981862329
247	0.2976985346
248	0.2967733356
249	0.2961239283
250	0.2957375334
251	0.2951594412
252	0.2947183178
253	0.294088619
254	0.2932517179
255	0.2927706078
256	0.2919529615
257	0.2915545985
258	0.2911414282
259	0.2909918071
260	0.2903560557
261	0.2900537144
262	0.2891626191
263	0.2885505384
264	0.2878600531
265	0.2874140193
266	0.2868497016
267	0.2861104131
268	0.285592577
269	0.2850310389
270	0.2846474779
271	0.2840231225
272	0.2834188092
273	0.283016308
274	0.2822434981
275	0.2818512222
276	0.2814328739
277	0.2810857483
278	0.2807653816
279	0.2804702662
280	0.2801140626
281	0.2796343225
282	0.2788175165
283	0.2781905891
284	0.2774031686
285	0.2768184824
286	0.2764814691
287	0.2760216308
288	0.2755739901
289	0.2751342027
290	0.2748589393
291	0.2744426085
292	0.2739896948
293	0.2736855303
294	0.2731200704
295	0.2728112516
296	0.272004985
297	0.2715740308
298	0.2709336019
299	0.2705792513
300	0.2702205623
301	0.2697411138
302	0.2693315988
303	0.2685797951
304	0.268166665
305	0.2675055106
306	0.2668885755
307	0.2666767474
308	0.2663060127
309	0.2659807677
310	0.265316899
311	0.2647207163
312	0.2641815888
313	0.2637920316
314	0.2633472107
315	0.2629018433
316	0.2624629457
317	0.2616741881
318	0.2613238125
319	0.2607472976
320	0.2603730308
321	0.2600433092
322	0.2595812353
323	0.2591414669
324	0.2588233608
325	0.2583104132
326	0.2576644671
327	0.2572653436
328	0.2569940744
329	0.2564605848
330	0.2560099819
331	0.2554777833
332	0.254668564
333	0.2542772851
334	0.2538710868
335	0.2534636674
336	0.2524683252
337	0.2520119841
338	0.2516534664
339	0.2514953118
340	0.2511720108
341	0.2508547528
342	0.2503408501
343	0.2499496117
344	0.2495002775
345	0.2490227307
346	0.2487212743
347	0.2483075594
348	0.2477128918
349	0.2474676173
350	0.2471198658
351	0.2467143311
352	0.2462967842
353	0.2460583012
354	0.2457039168
355	0.2455398362
356	0.2450770467
357	0.2444675826
358	0.2440912071
359	0.2433488754
360	0.2431048676
361	0.2427263334
362	0.2424474732
363	0.2421212283
364	0.2416883573
365	0.2412416778
366	0.2407981915
367	0.2405202963
368	0.2398661108
369	0.2394389045
370	0.2389234785
371	0.2384205211
372	0.2381608003
373	0.2378342249
374	0.237384748
375	0.2370144957
376	0.2365347772
377	0.2358653788
378	0.2354191151
379	0.2351104123
380	0.234832152
381	0.2344352201
382	0.2340033229
383	0.23345747
384	0.2330398234
385	0.2325323157
386	0.2320588442
387	0.2317554401
388	0.2313301307
389	0.2310593942
390	0.2307336017
391	0.2301913999
392	0.2297517137
393	0.2293103909
394	0.2287517006
395	0.2283389916
396	0.2280354399
397	0.2275749051
398	0.227081301
399	0.226722749
400	0.2261630961
401	0.2259406843
402	0.2256473766
403	0.2253846561
404	0.2249585169
405	0.2246135723
406	0.224183522
407	0.2236169513
408	0.2233619727
409	0.2231650638
410	0.2230323781
411	0.2225740919
412	0.2223232385
413	0.2220868519
414	0.2217243564
415	0.2214582384
416	0.2211936905
417	0.2209371016
418	0.2207333146
419	0.2205121816
420	0.2201776638
421	0.2199175039
422	0.2195581789
423	0.2193953695
424	0.2189494116
425	0.2185257345
426	0.218141746
427	0.2174680062
428	0.2169362914
429	0.2166279253
430	0.216341143
431	0.2158732953
432	0.2155656932
433	0.2152708315
434	0.2149935302
435	0.2147077291
436	0.2142842751
437	0.2140257457
438	0.2136036862
439	0.2132211063
440	0.2128419685
441	0.2125011385
442	0.2122294325
443	0.2118225129
444	0.2115476445
445	0.2111906295
446	0.2108762858
447	0.2104732882
448	0.2100486461
449	0.2098180486
450	0.2096442351
451	0.2092409922
452	0.2089220057
453	0.2086752643
454	0.2085164802
455	0.2082962035
456	0.2079097558
457	0.207344637
458	0.2070566553
459	0.2066677332
460	0.2064655838
461	0.2060162508
462	0.2055653259
463	0.2052165158
464	0.2047605383
465	0.2045095894
466	0.2042417194
467	0.2039848954
468	0.2035898666
469	0.2034121786
470	0.2032106241
471	0.2029889683
472	0.2027699607
473	0.2022298337
474	0.2018745976
475	0.2017228478
476	0.2013738156
477	0.2011250437
478	0.2009289047
479	0.2004549413
480	0.1999763006
481	0.1994395585
482	0.1991754637
483	0.1989428196
484	0.1986625554
485	0.1984264658
486	0.1981245623
487	0.1977977996
488	0.1975928487
489	0.1971429856
490	0.1969027961
491	0.1967228607
492	0.1964703066
493	0.1961132344
494	0.1959489578
495	0.1957081315
496	0.1953432198
497	0.1950288593
498	0.1948347154
499	0.1943676321
500	0.1940164653
501	0.1937347037
502	0.1933961959
503	0.1931235239
504	0.1929114736
505	0.1926355571
506	0.1922601639
507	0.1918376274
508	0.1916228094
509	0.1913372684
510	0.1908549701
511	0.1906172281
512	0.1902228063
513	0.1900061711
514	0.1896028161
515	0.1892859634
516	0.1891219302
517	0.1888346906
518	0.1886997103
519	0.1884484713
520	0.1882015096
521	0.1879975491
522	0.1876828528
523	0.1874572352
524	0.1872974407
525	0.1871921415
526	0.1869565555
527	0.1866361383
528	0.1861907068
529	0.1859328132
530	0.1857064915
531	0.1853756602
532	0.18516837
533	0.1849474489
534	0.1847782706
535	0.1845936308
536	0.1843312791
537	0.1840607676
538	0.1837751859
539	0.1835940241
540	0.1832281363
541	0.1829664709
542	0.1826411228
543	0.1823830532
544	0.1821075753
545	0.1818947811
546	0.1816262095
547	0.1812131378
548	0.1810035868
549	0.1806201284
550	0.1804650227
551	0.1803400593
552	0.1800592104
553	0.1799031616
554	0.1797322678
555	0.1794847383
556	0.1791822568
557	0.1787479025
558	0.1783939988
559	0.1780974337
560	0.1778808397
561	0.1776672252
562	0.1773670205
563	0.1771053674
564	0.1770142373
565	0.1766460381
566	0.1765086727
567	0.1761970077
568	0.1759015525
569	0.1757004702
570	0.1755962061
571	0.1753680292
572	0.1752486698
573	0.1749454199
574	0.1746881955
575	0.1744385614
576	0.1743200195
577	0.1740760811
578	0.1739315604
579	0.1736595468
580	0.1732137493
581	0.1729454255
582	0.1728387697
583	0.1726608638
584	0.1724249953
585	0.1722363773
586	0.1720661221
587	0.1717120955
588	0.1715349676
589	0.1712895645
590	0.1709974513
591	0.1707352741
592	0.1704514222
593	0.1702852739
594	0.1700763506
595	0.169950529
596	0.1697346294
597	0.1695835127
598	0.1694557758
599	0.1691217703
600	0.1687262441
601	0.1685016996
602	0.1682179076
603	0.1677900806
604	0.1674824801
605	0.1672385465
606	0.1669185614
607	0.1665805436
608	0.166296736
609	0.1658677345
610	0.1655783735
611	0.1652756877
612	0.1651022772
613	0.1648683865
614	0.1646052719
615	0.1645204064
616	0.1643403396
617	0.1640854107
618	0.1639181582
619	0.1636745133
620	0.1634423394
621	0.1631409866
622	0.16301241
623	0.1627767139
624	0.1623280023
625	0.1620715156
626	0.1616730241
627	0.1615483191
628	0.161298001
629	0.1610295639
630	0.160804986
631	0.1606186728
632	0.1604336942
633	0.1602704905
634	0.1599736338
635	0.1598256632
636	0.1596895658
637	0.1595424269
638	0.1591427843
639	0.1589109951
640	0.1586080801
641	0.158407475
642	0.1582376824
643	0.1580071092
644	0.1577393333
645	0.1575537443
646	0.1573318154
647	0.1571716882
648	0.1568605527
649	0.1565117482
650	0.1562387877
651	0.1560810318
652	0.1557769402
653	0.1556493894
654	0.1554537831
655	0.1551864226
656	0.1551712179
657	0.1550355226
658	0.1548183147
659	0.1546066734
660	0.1544666307
661	0.1543433806
662	0.1540118544
663	0.1539328224
664	0.1537425555
665	0.1536411985
666	0.1534710933
667	0.1531624378
668	0.1529186143
669	0.1525111753
670	0.1522567815
671	0.1521416808
672	0.1519962114
673	0.151881956
674	0.1517269063
675	0.1515359458
676	0.1513580251
677	0.1511474386
678	0.1508257783
679	0.1505504904
680	0.1504182432
681	0.1502216641
682	0.1500491587
683	0.1497400069
684	0.1495906479
685	0.1494294824
686	0.1491849603
687	0.1489518208
688	0.1486541937
689	0.1484442468
690	0.1482260912
691	0.1481324308
692	0.1480330556
693	0.1478374253
694	0.1475640803
695	0.1474241995
696	0.146933694
697	0.1467744919
698	0.1466675308
699	0.1463781482
700	0.1463341014
701	0.1461055845
702	0.1459934112
703	0.145818564
704	0.1455427235
705	0.1453197105
706	0.1450299715
707	0.144722134
708	0.1446251567
709	0.1444542481
710	0.1442452766
711	0.1442018864
712	0.1440965913
713	0.1438974434
714	0.1437039101
715	0.1436360925
716	0.1435330865
717	0.1431694246
718	0.1430379468
719	0.142822044
720	0.1426346804
721	0.1424918087
722	0.1424482118
723	0.1422436437
724	0.1421738455
725	0.1420943943
726	0.1419805035
727	0.1416965142
728	0.1414890793
729	0.1413042275
730	0.1410613631
731	0.1409217906
732	0.1406687923
733	0.1405275413
734	0.1403436525
735	0.1402151206
736	0.140017378
737	0.1399302424
738	0.1397602998
739	0.1396125839
740	0.1394898689
741	0.1394647055
742	0.1392794469
743	0.1391562761
744	0.1389782389
745	0.1387814426
746	0.1386869179
747	0.1385299643
748	0.1383799324
749	0.1381356598
750	0.1379446627
751	0.1377389867
752	0.1375189585
753	0.1374442843
754	0.1373699494
755	0.1373319724
756	0.1372031147
757	0.1371713496
758	0.13701598
759	0.1369374693
760	0.1367519142
761	0.1365452214
762	0.1363710855
763	0.1361585659
764	0.13594238
765	0.1357695538
766	0.1354827312
767	0.1353722498
768	0.1352856894
769	0.1351085032
770	0.1347854079
771	0.1346155129
772	0.1345157186
773	0.1342876388
774	0.13425372
775	0.1341070162
776	0.1338595173
777	0.1336985437
778	0.1335012847
779	0.1332532161
780	0.1330339512
781	0.1328619303
782	0.1326308733
783	0.1324212048
784	0.1322556748
785	0.1322031752
786	0.1320457683
787	0.1319157466
788	0.131847148
789	0.1316127643
790	0.131415533
791	0.1311652931
792	0.1309903668
793	0.1308947755
794	0.130819577
795	0.1307364815
796	0.1306124831
797	0.1304404077
798	0.1301790237
799	0.130132699
800	0.1299400096
801	0.129829494
802	0.1297933321
803	0.1297108812
804	0.1294558956
805	0.1293019858
806	0.1291970108
807	0.1289352212
808	0.1288234985
809	0.128780161
810	0.1287282107
811	0.1285892358
812	0.1284847594
813	0.1282613
814	0.1281374215
815	0.1280271832
816	0.127939836
817	0.1276491229
818	0.1274943488
819	0.1273276217
820	0.1272052442
821	0.1270864969
822	0.1269584042
823	0.1268087014
824	0.1266762792
825	0.1264976745
826	0.1263292245
827	0.1262119169
828	0.1260945989
829	0.1259371734
830	0.125777535
831	0.1256733099
832	0.1253779876
833	0.1253287392
834	0.1252843695
835	0.1252233501
836	0.1249768303
837	0.124935349
838	0.1247813863
839	0.1247142694
840	0.1245801197
841	0.1243767608
842	0.1242683727
843	0.1241714763
844	0.1241329176
845	0.1240197946
846	0.1238140209
847	0.1237062733
848	0.1235674899
849	0.1232647983
850	0.1231003408
851	0.1228530532
852	0.1226084135
853	0.1224956124
854	0.1223719914
855	0.1222304504
856	0.1220905
857	0.1219903586
858	0.1217862192
859	0.1216384524
860	0.1214772038
861	0.1214143147
862	0.1213483719
863	0.1213106678
864	0.1211334786
865	0.1209830724
866	0.1208748448
867	0.1206140306
868	0.1203802844
869	0.1201982301
870	0.1200321185
871	0.1198636439
872	0.1197814707
873	0.1195294803
874	0.1193811512
875	0.1192050002
876	0.1189689258
877	0.1188410683
878	0.1187324058
879	0.1185296678
880	0.1184957973
881	0.1184011192
882	0.1183104283
883	0.1181662119
884	0.1180346831
885	0.1178747922
886	0.1178333843
887	0.1176635545
888	0.1176138936
889	0.1174906346
890	0.1174550074
891	0.117321068
892	0.1171933475
893	0.1171124875
894	0.1169608596
895	0.1168845757
896	0.1166790945
897	0.1165813661
898	0.1164373
899	0.1163174359
900	0.1161474996
901	0.1159687023
902	0.1159108834
903	0.1157709788
904	0.1156816404
905	0.115583784
906	0.1154617734
907	0.1153311972
908	0.1151736282
909	0.1149843505
910	0.1148364744
911	0.1147041826
912	0.114545342
913	0.1145063339
914	0.1144485791
915	0.1142905114
916	0.1141619206
917	0.1141200302
918	0.1140326951
919	0.1139762678
920	0.1138841573
921	0.1138204798
922	0.1136226121
923	0.1135813854
924	0.1135107589
925	0.1134047215
926	0.113342804
927	0.1132928386
928	0.1130925832
929	0.113011602
930	0.1129191511
931	0.1128849988
932	0.1127487068
933	0.1126329655
934	0.1124476969
935	0.1123744979
936	0.1122628878
937	0.1122089604
938	0.1119560961
939	0.1117661083
940	0.1117078008
941	0.1116730075
942	0.1114974794
943	0.111382447
944	0.111308426
945	0.1112243798
946	0.1109822353
947	0.1108574155
948	0.1107570024
949	0.1106562534
950	0.1105716717
951	0.1103613638
952	0.1100779881
953	0.1098540845
954	0.1096883301
955	0.1095657174
956	0.1093587624
957	0.1092185517
958	0.1091549828
959	0.1090398261
960	0.1089529943
961	0.1087365551
962	0.1086506159
963	0.10845004
964	0.1083475104
965	0.1082848162
966	0.1081186255
967	0.1079303612
968	0.1078632275
969	0.1077785328
970	0.1077605474
971	0.1076886216
972	0.1075963298
973	0.1073767338
974	0.1072709244
975	0.1070904443
976	0.1070505828
977	0.1069251336
978	0.1068677767
979	0.1067205494
980	0.1065915102
981	0.1064502269
982	0.106351831
983	0.1062185518
984	0.106045939
985	0.1059771432
986	0.105890311
987	0.1057670876
988	0.1056093048
989	0.1055678755
990	0.1053733106
991	0.1052138999
992	0.1051362911
993	0.1050479369
994	0.1049584241
995	0.1047714781
996	0.1046380409
997	0.1044835128
998	0.1043008271
999	0.104208045
